Firmware;Hits;Bandwidth
/releases/19.07.4/targets/ipq40xx/generic/openwrt-19.07.4-ipq40xx-generic-linksys_ea6350v3-squashfs-factory.bin;225;1.28 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c5-v1-squashfs-factory.bin;222;2.66 GB
/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_archer-c7-v2-squashfs-sysupgrade.bin;222;1.01 GB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c60-v2-squashfs-factory.bin;221;845.39 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-xiaomi_mir3g-squashfs-sysupgrade.bin;218;830.13 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-c60-v3-squashfs-factory.bin;217;735.97 MB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_tl-mr3020-v3-squashfs-sysupgrade.bin;213;677.39 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-linksys_ea7500-v2-squashfs-factory.bin;213;1.25 GB
/releases/19.07.4/targets/kirkwood/generic/openwrt-19.07.4-kirkwood-linksys_viper-squashfs-sysupgrade.bin;210;668.12 MB
/releases/19.07.4/targets/ar71xx/generic/openwrt-19.07.4-ar71xx-generic-gl-ar750s-squashfs-sysupgrade.bin;210;815.34 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_archer-a7-v5-squashfs-sysupgrade.bin;209;813.71 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-dlink_dir-882-a1-squashfs-sysupgrade.bin;205;1019.68 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-dlink_dwr-921-c3-squashfs-factory.bin;200;627.05 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr1043nd-v3-squashfs-factory.bin;196;1.23 GB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr841-v11-squashfs-sysupgrade.bin;194;572.64 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr841-v10-squashfs-factory.bin;193;596.14 MB
/releases/17.01.7/targets/ar71xx/generic/lede-17.01.7-ar71xx-generic-tl-wr841-v8-squashfs-sysupgrade.bin;191;554.79 MB
/releases/17.01.5/targets/ar71xx/generic/lede-17.01.5-ar71xx-generic-tl-mr3420-v1-squashfs-factory.bin;190;587.00 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr941nd-v6-squashfs-factory.bin;190;544.30 MB
/releases/19.07.2/targets/ramips/mt76x8/openwrt-19.07.2-ramips-mt76x8-xiaomi_mir4a-100m-squashfs-sysupgrade.bin;189;611.21 MB
/releases/19.07.4/targets/ipq806x/generic/openwrt-19.07.4-ipq806x-generic-tplink_c2600-squashfs-sysupgrade.bin;189;1.14 GB
/releases/19.07.4/targets/ramips/mt76x8/openwrt-19.07.4-ramips-mt76x8-tplink_c20-v4-squashfs-sysupgrade.bin;186;618.30 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr842n-v3-squashfs-factory.bin;185;1.62 GB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-linksys_wrt1900acv2-squashfs-sysupgrade.bin;182;726.47 MB
/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-linksys_ea7500-v2-squashfs-sysupgrade.bin;181;811.00 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr940n-v4-squashfs-factory.bin;176;520.32 MB
/releases/19.07.4/targets/ath79/generic/openwrt-19.07.4-ath79-generic-tplink_tl-wr1043nd-v3-squashfs-sysupgrade.bin;175;595.00 MB
/releases/18.06.8/targets/ar71xx/tiny/openwrt-18.06.8-ar71xx-tiny-tl-wr941nd-v3-squashfs-factory.bin;172;551.39 MB
/releases/19.07.4/targets/ramips/mt7620/openwrt-19.07.4-ramips-mt7620-rt-n14u-squashfs-sysupgrade.bin;172;464.26 MB
/releases/19.07.4/targets/brcm63xx/generic/openwrt-19.07.4-brcm63xx-generic-HG556a-B-squashfs-cfe.bin;172;465.06 MB
