Image;Hits;206 Hits;Hits combined;Bandwidth;Avg. Size
/snapshots/targets/bcm27xx/bcm2708/openwrt-bcm27xx-bcm2708-rpi-squashfs-factory.img.gz;41;80;121;424.86 MB;3.51 MB
/releases/18.06.8/targets/x86/generic/openwrt-18.06.8-x86-generic-combined-ext4.img.gz;40;125;165;230.65 MB;1.40 MB
/releases/19.07.4/targets/mvebu/cortexa53/openwrt-19.07.4-mvebu-cortexa53-globalscale_espressobin-v7-ext4-sdcard.img.gz;40;0;40;187.13 MB;4.68 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-bananapro-squashfs-sdcard.img.gz;40;29;69;161.50 MB;2.34 MB
/releases/19.07.4/targets/armvirt/32/openwrt-19.07.4-armvirt-32-root.squashfs.gz;39;107;146;34.24 MB;240.16 KB
/releases/18.06.8/targets/x86/generic/openwrt-18.06.8-x86-generic-generic-rootfs.tar.gz;39;0;39;93.09 MB;2.39 MB
/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-sinovoip_bananapi-m2-ultra-ext4-sdcard.img.gz;39;27;66;186.26 MB;2.82 MB
/releases/19.07.4/targets/gemini/generic/openwrt-19.07.4-gemini-dlink_dns-313-ext4-factory.bin.gz;38;4;42;232.86 MB;5.54 MB
/snapshots/targets/rockchip/armv8/openwrt-rockchip-armv8-pine64_rockpro64-squashfs-sysupgrade.img.gz;37;67;104;214.44 MB;2.06 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h3-orangepi-plus-ext4-sdcard.img.gz;36;89;125;142.47 MB;1.14 MB
/releases/18.06.1/targets/x86/generic/openwrt-18.06.1-x86-generic-combined-ext4.img.gz;36;90;126;213.01 MB;1.69 MB
/releases/19.07.3/targets/x86/generic/openwrt-19.07.3-x86-generic-generic-rootfs.tar.gz;36;0;36;129.95 MB;3.61 MB
/releases/19.07.4/targets/ar71xx/nand/openwrt-19.07.4-ar71xx-nand-rambutan-squashfs-sysupgrade.tar;36;7;43;92.29 MB;2.15 MB
/releases/17.01.4/targets/brcm2708/bcm2708/lede-17.01.4-brcm2708-bcm2708-rpi-ext4-sdcard.img.gz;35;28;63;223.50 MB;3.55 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-bananapi-ext4-sdcard.img.gz;35;98;133;134.72 MB;1.01 MB
/snapshots/targets/mvebu/cortexa53/openwrt-mvebu-cortexa53-glinet_gl-mv1000-squashfs-sdcard.img.gz;35;4;39;158.19 MB;4.06 MB
/snapshots/targets/bcm27xx/bcm2708/openwrt-bcm27xx-bcm2708-rpi-ext4-sysupgrade.img.gz;34;9;43;327.54 MB;7.62 MB
/releases/19.07.4/targets/octeon/generic/openwrt-19.07.4-octeon-er-squashfs-sysupgrade.tar;34;220;254;194.07 MB;782.39 KB
/releases/17.01.3/targets/ar71xx/nand/lede-17.01.3-ar71xx-nand-vmlinux.lzma;34;0;34;34.39 MB;1.01 MB
/releases/18.06.4/targets/x86/generic/openwrt-18.06.4-x86-generic-combined-ext4.img.gz;34;60;94;118.73 MB;1.26 MB
/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-friendlyarm_nanopi-r1-ext4-sdcard.img.gz;34;3;37;192.67 MB;5.21 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun8i-h3-orangepi-plus-squashfs-sdcard.img.gz;33;10;43;97.88 MB;2.28 MB
/snapshots/targets/armvirt/32/openwrt-armvirt-32-rootfs-ext4.img.gz;33;0;33;69.62 MB;2.11 MB
/releases/19.07.4/targets/x86/legacy/openwrt-19.07.4-x86-legacy-rootfs-ext4.img.gz;33;4;37;64.61 MB;1.75 MB
/releases/19.07.4/targets/ar71xx/nand/openwrt-19.07.4-ar71xx-nand-nbg6716-squashfs-sysupgrade.tar;33;31;64;120.36 MB;1.88 MB
/releases/19.07.2/targets/x86/generic/openwrt-19.07.2-x86-generic-generic-rootfs.tar.gz;33;0;33;115.31 MB;3.49 MB
/releases/18.06.8/targets/mvebu/cortexa53/openwrt-18.06.8-mvebu-cortexa53-globalscale-espressobin-ext4-sdcard.img.gz;32;0;32;154.47 MB;4.83 MB
/releases/18.06.4/targets/x86/64/openwrt-18.06.4-x86-64-generic-rootfs.tar.gz;32;0;32;84.04 MB;2.63 MB
/snapshots/targets/sunxi/cortexa53/openwrt-sunxi-cortexa53-pine64_pine64-plus-squashfs-sdcard.img.gz;32;7;39;199.63 MB;5.12 MB
/releases/18.06.1/targets/brcm2708/bcm2709/openwrt-18.06.1-brcm2708-bcm2709-rpi-2-ext4-factory.img.gz;32;77;109;196.88 MB;1.81 MB
/releases/19.07.4/targets/sunxi/cortexa53/openwrt-19.07.4-sunxi-cortexa53-sun50i-h5-nanopi-neo2-ext4-sdcard.img.gz;32;36;68;126.84 MB;1.87 MB
/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-lamobo_lamobo-r1-ext4-sdcard.img.gz;32;2;34;176.62 MB;5.19 MB
/snapshots/targets/x86/generic/openwrt-x86-generic-generic-ext4-combined.img.gz;32;32;64;227.64 MB;3.56 MB
/releases/18.06.5/targets/x86/64/openwrt-18.06.5-x86-64-combined-ext4.img.gz;32;25;57;163.99 MB;2.88 MB
/releases/19.07.4/targets/oxnas/ox820/openwrt-19.07.4-oxnas-ox820-cloudengines_pogoplugpro-squashfs-sysupgrade.tar;32;143;175;110.37 MB;645.81 KB
/snapshots/targets/armvirt/64/openwrt-armvirt-64-rootfs-ext4.img.gz;32;4;36;83.43 MB;2.32 MB
/snapshots/targets/gemini/generic/openwrt-gemini-dlink_dns-313-ext4-factory.bin.gz;31;0;31;197.97 MB;6.39 MB
/releases/18.06.2/targets/ramips/mt7621/openwrt-18.06.2-ramips-mt7621-mir3g-squashfs-sysupgrade.tar;31;83;114;96.42 MB;866.10 KB
/snapshots/targets/x86/generic/openwrt-x86-generic-generic-ext4-combined-efi.img.gz;31;98;129;221.84 MB;1.72 MB
/snapshots/targets/mvebu/cortexa9/openwrt-mvebu-cortexa9-cznic_turris-omnia-sysupgrade.img.gz;31;5;36;134.68 MB;3.74 MB
/releases/19.07.4/targets/brcm2708/bcm2709/openwrt-19.07.4-brcm2708-bcm2709-rpi-2-squashfs-factory.img.gz;31;51;82;233.69 MB;2.85 MB
/releases/17.01.0/targets/ar71xx/nand/lede-17.01.0-r3205-59508e3-ar71xx-nand-vmlinux.lzma;31;0;31;22.06 MB;728.64 KB
/releases/19.07.4/targets/mvebu/cortexa9/openwrt-19.07.4-mvebu-cortexa9-solidrun_clearfog-pro-a1-squashfs-sdcard.img.gz;31;0;31;82.25 MB;2.65 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-cubieboard2-squashfs-sdcard.img.gz;31;23;54;105.49 MB;1.95 MB
/snapshots/targets/ath25/generic/openwrt-ath25-generic-kernel.lzma;30;0;30;24.03 MB;820.08 KB
/releases/18.06.7/targets/x86/generic/openwrt-18.06.7-x86-generic-generic-rootfs.tar.gz;30;0;30;76.57 MB;2.55 MB
/snapshots/targets/mvebu/cortexa9/omnia-medkit-openwrt-mvebu-cortexa9-cznic_turris-omnia-initramfs.tar.gz;30;3;33;90.01 MB;2.73 MB
/releases/18.06.0/targets/x86/64/openwrt-18.06.0-x86-64-combined-ext4.img.gz;30;48;78;137.32 MB;1.76 MB
/releases/18.06.0-rc2/targets/brcm2708/bcm2710/openwrt-18.06.0-rc2-brcm2708-bcm2710-rpi-3-ext4-sdcard.img.gz;29;142;171;191.16 MB;1.12 MB
/releases/19.07.4/targets/sunxi/cortexa53/openwrt-19.07.4-sunxi-cortexa53-sun50i-a64-pine64-plus-squashfs-sdcard.img.gz;29;19;48;77.62 MB;1.62 MB
/releases/17.01.5/targets/x86/generic/lede-17.01.5-x86-generic-generic-rootfs.tar.gz;29;0;29;68.29 MB;2.35 MB
/releases/19.07.4/targets/sunxi/cortexa7/openwrt-19.07.4-sunxi-cortexa7-sun7i-a20-pcduino3-squashfs-sdcard.img.gz;29;77;106;85.83 MB;829.17 KB
/releases/19.07.1/targets/x86/generic/openwrt-19.07.1-x86-generic-generic-rootfs.tar.gz;29;2;31;96.68 MB;3.12 MB
